                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2235,                 4.4526,                  4.138,                0.23127,                0.07722,                0.03489,                0.00983,                 2.6226,                 4.8672,                 3.8686,              0.0033265,              0.0033265,              0.0033265
                      2,                 2.6396,                 3.7465,                 3.3779,                 0.3084,                0.13961,                 0.0924,                0.03796,                 2.1103,                 4.7883,                 3.0442,              0.0065939,              0.0065939,              0.0065939
                      3,                 1.9914,                 2.9962,                 2.6004,                  0.201,                0.17234,                0.11047,                0.04971,                 2.1591,                   3.79,                 3.1125,              0.0097953,              0.0097953,              0.0097953
                      4,                 1.7402,                 2.5308,                 2.2842,                0.70949,                 0.2744,                0.32907,                 0.1753,                 1.7006,                 2.4805,                 2.4052,               0.009703,               0.009703,               0.009703
                      5,                 1.6377,                 2.2545,                 2.1436,                0.47623,                0.44492,                0.40645,                0.22835,                 1.6119,                 2.2784,                 2.2741,               0.009703,               0.009703,               0.009703
                      6,                 1.5554,                 2.0482,                 2.0398,                0.49715,                0.42209,                0.42334,                 0.2436,                 1.6223,                  1.898,                 2.2415,               0.009604,               0.009604,               0.009604
                      7,                 1.4987,                 1.9412,                  1.983,                0.54516,                0.48685,                0.48836,                0.27922,                 1.5279,                 1.6914,                 2.1215,               0.009505,               0.009505,               0.009505
                      8,                 1.4578,                 1.8201,                 1.9226,                0.54885,                0.50813,                0.50547,                0.29338,                 1.5022,                 1.5984,                 2.1002,               0.009406,               0.009406,               0.009406
                      9,                 1.4247,                 1.7302,                 1.8863,                0.58056,                0.53855,                0.54827,                0.32117,                 1.4761,                 1.5522,                 2.0474,               0.009307,               0.009307,               0.009307
                     10,                 1.3935,                 1.6562,                  1.845,                0.58891,                0.51921,                0.53822,                0.30936,                 1.5093,                 1.6771,                 2.0556,               0.009208,               0.009208,               0.009208
                     11,                 1.3668,                 1.5986,                 1.8126,                 0.6212,                0.55277,                0.56369,                0.32946,                 1.4498,                 1.4662,                 1.9849,               0.009109,               0.009109,               0.009109
                     12,                 1.3344,                 1.5322,                 1.7807,                0.56735,                0.50959,                0.52351,                0.30571,                  1.463,                 1.6575,                 2.0219,                0.00901,                0.00901,                0.00901
                     13,                 1.3144,                 1.4928,                 1.7518,                 0.6481,                0.50834,                0.55073,                0.32872,                 1.4308,                 1.4999,                 1.9585,               0.008911,               0.008911,               0.008911
                     14,                 1.3045,                 1.4542,                 1.7422,                0.61299,                0.57941,                0.58753,                0.34663,                 1.4053,                 1.3641,                 1.9354,               0.008812,               0.008812,               0.008812
                     15,                 1.2812,                 1.4142,                 1.7211,                  0.644,                0.56632,                0.59846,                0.35895,                 1.3875,                 1.5061,                 1.9119,               0.008713,               0.008713,               0.008713
                     16,                 1.2725,                  1.371,                 1.7102,                0.72069,                0.58545,                0.63749,                0.38252,                 1.3659,                 1.2596,                 1.8767,               0.008614,               0.008614,               0.008614
                     17,                 1.2654,                 1.3549,                  1.697,                0.66768,                0.61578,                 0.6239,                0.37524,                 1.3692,                 1.2901,                 1.8783,               0.008515,               0.008515,               0.008515
                     18,                 1.2455,                  1.326,                 1.6784,                0.72919,                0.60328,                0.65001,                0.39108,                 1.3581,                   1.18,                 1.8528,               0.008416,               0.008416,               0.008416
                     19,                 1.2288,                 1.2927,                 1.6636,                0.69659,                0.60704,                0.64321,                0.38616,                 1.3557,                 1.2223,                 1.8573,               0.008317,               0.008317,               0.008317
